,units_min,units_max,course_number,course_name,course_subject,instructor,quarters
81,1,1,194A,Android Programming Workshop,CS,"Borenstein, J.",['Autumn']
82,3,4,194H,User Interface Design Project,CS,"Landay, J.",['Spring']
83,3,3,194W,Software Project (WIM),CS,"Borenstein, J.","['Spring', 'Winter']"
84,3,4,195,Supervised Undergraduate Research,CS,"Valiant, G.","['Summer', 'Spring', 'Autumn', 'Winter']"
85,3,4,197,Computer Science Research,CS,"Tamkin, A.","['Spring', 'Autumn']"
86,3,4,198,Teaching Computer Science,CS,"Sahami, M.","['Spring', 'Autumn', 'Winter']"
87,1,1,198B,Additional Topics in Teaching Computer Science,CS,"Sahami, M.","['Spring', 'Autumn', 'Winter']"
88,1,6,199,Independent Work,CS,"Cheriton, D.","['Summer', 'Spring', 'Autumn', 'Winter']"
89,1,6,199P,Independent Work,CS,"Levitt, M.","['Summer', 'Spring', 'Autumn', 'Winter']"
90,1,1,202,Law for Computer Science Professionals,CS,"Hansen, D.","['Spring', 'Autumn']"
91,2,3,204,Computational Law,CS,,['Spring']
92,3,3,205L,Continuous Mathematical Methods with an Emphasis on Machine Learning,CS,"Fedkiw, R.",['Winter']
93,3,3,206,Exploring Computational Journalism (COMM 281),CS,"Agrawala, M.",['Winter']
94,3,3,208E,Great Ideas in Computer Science,CS,"Gregg, C.",['Autumn']
95,3,4,210A,Software Project Experience with Corporate Partners,CS,"Borenstein, J.",['Winter']
96,3,4,210B,Software Project Experience with Corporate Partners,CS,"Borenstein, J.",['Spring']
97,3,5,212,Operating Systems and Systems Programming,CS,"Mazieres, D.",['Winter']
98,3,3,214,Selected Reading of Computer Science Research,CS,"Levis, P.",['Spring']
99,3,4,221,Artificial Intelligence: Principles and Techniques,CS,"Hashimoto, T.","['Spring', 'Autumn']"
100,3,3,223A,Introduction to Robotics (ME 320),CS,"Ganguly, S.",['Winter']
101,3,4,224N,"Natural Language Processing with Deep Learning (LINGUIST 284, SYMSYS 195N)",CS,"Manning, C.",['Winter']
102,2,4,224S,Spoken Language Processing (LINGUIST 285),CS,"Maas, A.",['Spring']
103,3,4,224U,"Natural Language Understanding (LINGUIST 188, LINGUIST 288, SYMSYS 195U)",CS,"Potts, C.",['Spring']
104,3,4,224V,Conversational Virtual Assistants with Deep Learning,CS,"Lam, M.",['Autumn']
105,3,4,224W,Machine Learning with Graphs,CS,"Leskovec, J.",['Autumn']
106,3,3,225A,Experimental Robotics,CS,"Khatib, O.",['Spring']
