,units_min,units_max,course_number,course_name,course_subject,quarters
175,3,3,375,Large-Scale Neural Network Modeling for Neuroscience (PSYCH 249),CS,['Spring']
176,3,4,377E,Designing Solutions to Global Grand Challenges,CS,['Spring']
177,3,4,377G,Designing Serious Games,CS,['Winter']
178,3,4,377Q,Designing for Accessibility (ME 214),CS,['Spring']
179,3,4,384,Seminar on Ethical and Social Issues in Natural Language Processing (LINGUIST 287),CS,['Spring']
180,1,1,390A,Curricular Practical Training,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
181,1,1,390B,Curricular Practical Training,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
182,1,1,390C,Curricular Practical Training,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
183,1,1,390D,Part-time Curricular Practical Training,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
184,4,4,398,Computational Education,CS,['Spring']
185,1,9,399,Independent Project,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
186,1,9,399P,Independent Project,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
187,3,3,422,Interactive and Embodied Learning (EDUC 234A),CS,['Winter']
188,3,3,428A,Probabilistic models of cognition: Reasoning and Learning (PSYCH 220A),CS,['Spring']
189,3,3,432,Computer Vision for Education and Social Science Research (EDUC 463),CS,['Winter']
190,3,4,448B,"Data Visualization (EDUC 458, SYMSYS 195V)",CS,['Winter']
191,3,3,448V,Topics in Computer Graphics: Computational Video Manipulation,CS,['Spring']
192,3,4,470,Music and AI (MUSIC 356),CS,['Winter']
193,3,4,476A,"Music, Computing, Design: The Art of Design (MUSIC 256A)",CS,['Autumn']
194,3,3,498C,Introduction to CSCL: Computer-Supported Collaborative Learning (EDUC 315A),CS,['Winter']
195,3,3,498D,Design for Learning: Connection and Community,CS,['Autumn']
196,1,15,499,Advanced Reading and Research,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
197,1,15,499P,Advanced Reading and Research,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
198,1,1,522,Seminar in Artificial Intelligence in Healthcare,CS,['Autumn']
199,1,2,523,Research Seminar in Computer Vision + X,CS,['Spring']
200,1,1,528,Machine Learning Systems Seminar,CS,['Summer']
201,1,1,529,Robotics and Autonomous Systems Seminar (AA 289),CS,"['Winter', 'Autumn', 'Spring']"
202,1,1,547,Human-Computer Interaction Seminar,CS,"['Winter', 'Autumn', 'Spring']"
203,0,0,802,TGR Dissertation,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
