,units_min,units_max,course_number,course_name,course_subject,quarters
107,3,3,346,Introduction to Nonlinear Optics,EE,['Winter']
108,3,3,348,Advanced Optical Fiber Communications,EE,['Autumn']
109,3,3,355,Imaging Radar and Applications (GEOPHYS 265),EE,['Winter']
110,3,3,356B,Magnetics Design in Power Electronics,EE,['Spring']
111,3,3,358,Wireless System Design,EE,['Spring']
112,3,4,359,Wireless Communications,EE,['Autumn']
113,3,3,364A,Convex Optimization I (CME 364A),EE,"['Summer', 'Winter']"
114,3,3,364B,Convex Optimization II (CME 364B),EE,['Spring']
115,3,3,367,Computational Imaging (CS 448I),EE,['Winter']
116,3,3,369B,Medical Imaging Systems II,EE,['Autumn']
117,3,5,372,Design Projects in VLSI Systems II,EE,['Spring']
118,3,3,374,Blockchain Foundations,EE,['Spring']
119,3,3,377,Information Theory and Statistics (STATS 311),EE,['Autumn']
120,3,3,378A,Statistical Signal Processing,EE,['Spring']
121,1,1,380,Colloquium on Computer Systems,EE,"['Winter', 'Spring']"
122,3,3,382A,Parallel Processors Beyond Multicore Processing,EE,['Spring']
123,3,3,382C,Interconnection Networks,EE,['Winter']
124,3,3,384S,Performance Engineering of Computer Systems & Networks,EE,['Spring']
125,3,3,387,Algebraic Error Correcting Codes (CS 250),EE,['Winter']
126,1,15,390,Special Studies or Projects in Electrical Engineering,EE,"['Summer', 'Winter', 'Autumn', 'Spring']"
127,1,15,391,Special Studies and Reports in Electrical Engineering,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
128,1,15,400,Thesis and Thesis Research,EE,"['Summer', 'Winter', 'Autumn', 'Spring']"
129,1,1,402A,"Topics in International Technology Management (EALC 402A, EASTASN 402A)",EE,['Autumn']
130,1,1,402T,"Entrepreneurship in Asian High Tech Industries (EALC 402T, EASTASN 402T)",EE,['Spring']
131,0,0,801,TGR Project,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
132,0,0,802,TGR Dissertation,EE,"['Summer', 'Winter', 'Spring', 'Autumn']"
