,units_min,units_max,course_number,course_name,course_subject,quarters
0,5,5,100,Vector Calculus for Engineers (ENGR 154),CME,"['Spring', 'Autumn']"
1,6,6,100A,"Vector Calculus for Engineers, ACE",CME,"['Autumn', 'Spring']"
2,5,5,102,Ordinary Differential Equations for Engineers (ENGR 155A),CME,"['Summer', 'Winter', 'Spring', 'Autumn']"
3,6,6,102A,"Ordinary Differential Equations for Engineers, ACE",CME,"['Winter', 'Spring', 'Autumn']"
4,5,5,104,Linear Algebra and Partial Differential Equations for Engineers (ENGR 155B),CME,['Spring']
5,6,6,104A,"Linear Algebra and Partial Differential Equations for Engineers, ACE",CME,['Spring']
6,4,4,106,Introduction to Probability and Statistics for Engineers (ENGR 155C),CME,"['Summer', 'Winter']"
7,3,5,107,Introduction to Machine Learning (EE 104),CME,['Spring']
8,3,3,108,Introduction to Scientific Computing (MATH 114),CME,"['Summer', 'Winter']"
9,3,3,187,Mathematical Population Biology (BIO 187),CME,['Winter']
10,1,1,192,Introduction to MATLAB,CME,"['Winter', 'Spring', 'Autumn']"
11,1,1,193,Introduction to Scientific Python,CME,"['Winter', 'Spring', 'Autumn']"
12,3,3,200,Linear Algebra with Application to Engineering Computations (ME 300A),CME,['Autumn']
13,3,3,204,Partial Differential Equations in Engineering (ME 300B),CME,['Winter']
14,3,3,206,Introduction to Numerical Methods for Engineering (ME 300C),CME,['Spring']
15,3,3,209,Mathematical Modeling of Biological Systems (BIOE 209),CME,['Winter']
16,3,3,211,Software Development for Scientists and Engineers,CME,['Autumn']
17,3,3,212,Advanced Software Development for Scientists and Engineers,CME,['Winter']
18,3,3,213,"Introduction to parallel computing using MPI, openMP, and CUDA (ME 339)",CME,['Spring']
19,3,3,217,Analytics Accelerator (BIODS 217),CME,['Winter']
20,1,1,217A,Analytics Accelerator Seminar (BIODS 217A),CME,['Autumn']
21,3,3,241,Foundations of Reinforcement Learning with Applications in Finance (MS&E 346),CME,['Winter']
22,3,3,243,Risk Analytics and Management in Finance and Insurance (STATS 243),CME,['Winter']
23,1,1,250,Introduction to Machine Learning,CME,['Spring']
24,3,3,251,Geometric and Topological Data Analysis (CS 233),CME,['Spring']
25,3,4,262,Imaging with Incomplete Information (CEE 362G),CME,['Spring']
26,3,3,263,Introduction to Linear Dynamical Systems (EE 263),CME,"['Summer', 'Autumn']"
27,1,3,270,Advances in Computing with Uncertainties,CME,['Autumn']
28,3,3,279,"Computational Biology: Structure and Organization of Biomolecules and Cells (BIOE 279, BIOMEDIN 279, BIOPHYS 279, CS 279)",CME,['Autumn']
29,3,3,285,"Computational Modeling in the Cardiovascular System (BIOE 285, ME 285)",CME,['Spring']
30,1,6,291,Master's Research,CME,"['Summer', 'Winter', 'Autumn', 'Spring']"
31,1,1,292,Advanced MATLAB for Scientific Computing,CME,['Winter']
32,3,3,298,Basic Probability and Stochastic Processes with Engineering Applications (MATH 158),CME,['Spring']
33,1,1,300,First Year Seminar Series,CME,['Autumn']
34,1,1,300Q,ICME QUALIFYING EXAMS WORKSHOP,CME,['Spring']
35,3,3,302,Numerical Linear Algebra,CME,['Autumn']
36,3,3,303,Partial Differential Equations of Applied Mathematics (MATH 220),CME,['Autumn']
37,3,3,305,Discrete Mathematics and Algorithms (MS&E 316),CME,['Winter']
38,3,3,306,Numerical Solution of Partial Differential Equations (MATH 226),CME,['Spring']
39,3,3,307,Optimization (MS&E 311),CME,['Winter']
40,3,3,308,"Stochastic Methods in Engineering (MATH 228, MS&E 324)",CME,['Spring']
41,3,3,309,Randomized Algorithms and Probabilistic Analysis (CS 265),CME,['Winter']
42,3,3,323,Distributed Algorithms and Optimization,CME,['Spring']
43,3,3,330,Applied Mathematics in the Chemical and Biological Sciences (CHEMENG 300),CME,['Autumn']
44,1,1,350Q,The ABCs of TQC: An introduction to the mathematics of Topological Quantum Computing,CME,['Spring']
45,3,3,364A,Convex Optimization I (EE 364A),CME,"['Summer', 'Winter']"
46,3,3,364B,Convex Optimization II (EE 364B),CME,['Spring']
47,3,3,369,Computational Methods in Fluid Mechanics (ME 469),CME,['Spring']
48,1,1,390,Curricular Practical Training,CME,"['Summer', 'Winter', 'Autumn', 'Spring']"
49,1,15,399,Special Research Topics in Computational and Mathematical Engineering,CME,['Autumn']
50,1,15,400,Ph.D. Research,CME,"['Summer', 'Winter', 'Autumn', 'Spring']"
51,1,3,444,Computational Consulting,CME,['Spring']
52,1,1,500,Departmental Seminar,CME,['Winter']
53,1,1,510,Linear Algebra and Optimization Seminar,CME,['Spring']
54,0,0,801,TGR Project,CME,"['Summer', 'Winter', 'Autumn', 'Spring']"
55,0,0,802,TGR Dissertation,CME,"['Summer', 'Winter', 'Spring', 'Autumn']"
