,units_min,units_max,course_number,course_name,course_subject,quarters
0,1,1,1U,Practical Unix,CS,"['Winter', 'Autumn']"
1,1,1,7,Personal Finance for Engineers,CS,['Autumn']
2,1,1,9,Problem-Solving for the CS Technical Interview,CS,"['Spring', 'Autumn']"
3,2,2,11SI,How to Make VR: Introduction to Virtual Reality Design and Development,CS,['Spring']
4,1,1,12SI,Introduction to Mobile Augmented Reality Design and Development,CS,['Autumn']
5,2,2,21SI,AI for Social Good,CS,['Spring']
6,1,1,22A,The Social & Economic Impact of Artificial Intelligence (INTLPOL 200),CS,['Winter']
7,4,4,24,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",CS,"['Winter', 'Autumn']"
8,1,1,25,Transformers United,CS,['Autumn']
9,2,2,41,Hap.py Code: The Python Programming Language,CS,['Spring']
10,3,3,44N,Great Ideas in Graphics,CS,['Autumn']
11,3,3,46N,Data-Driven Decisions and Discovery,CS,['Spring']
12,2,2,47,Cross-Platform Mobile Development,CS,"['Winter', 'Spring']"
13,3,3,49N,Using Bits to Control Atoms,CS,['Autumn']
14,2,2,51,CS + Social Good Studio: Designing Social Impact Projects,CS,['Winter']
15,2,2,52,CS + Social Good Studio: Implementing Social Good Projects,CS,['Spring']
16,3,3,56N,Great Discoveries and Inventions in Computing,CS,['Winter']
17,3,3,57N,Randomness: Computational and Philosophical Approaches (PHIL 3N),CS,['Winter']
18,2,2,59SI,Quantum Computing: Open-Source Project Experience,CS,['Spring']
19,3,3,80Q,Race and Gender in Silicon Valley (AFRICAAM 80Q),CS,['Autumn']
20,3,3,83,Playback Theater,CS,['Winter']
21,2,2,91SI,Digital Canvas: An Introduction to UI/UX Design,CS,['Spring']
22,1,1,100A,Problem-solving Lab for CS106A,CS,"['Winter', 'Spring', 'Autumn']"
23,1,1,100B,Problem-solving Lab for CS106B,CS,"['Winter', 'Autumn', 'Spring']"
24,3,5,103,Mathematical Foundations of Computing,CS,"['Summer', 'Winter', 'Spring', 'Autumn']"
25,1,1,103A,Mathematical Problem-solving Strategies,CS,"['Winter', 'Spring']"
26,3,5,105,Introduction to Computers,CS,"['Spring', 'Autumn']"
27,3,5,106A,Programming Methodology,CS,"['Summer', 'Winter', 'Autumn', 'Spring']"
28,3,5,106B,Programming Abstractions,CS,"['Summer', 'Winter', 'Autumn', 'Spring']"
29,3,3,106E,Exploration of Computing,CS,['Spring']
30,1,1,106L,Standard C++ Programming Laboratory,CS,"['Winter', 'Spring', 'Autumn']"
31,1,1,106M,Enrichment Adventures in Programming Abstractions,CS,['Autumn']
32,1,1,106S,Coding for Social Good,CS,"['Winter', 'Spring', 'Autumn']"
33,3,5,107,Computer Organization and Systems,CS,"['Winter', 'Spring', 'Autumn']"
34,1,1,107A,Problem-solving Lab for CS107,CS,"['Winter', 'Spring', 'Autumn']"
35,3,5,107E,Computer Systems from the Ground Up,CS,"['Winter', 'Spring', 'Autumn']"
36,3,4,108,Object-Oriented Systems Design,CS,['Winter']
37,3,5,109,Introduction to Probability for Computer Scientists,CS,"['Summer', 'Winter', 'Autumn', 'Spring']"
38,1,1,109A,Problem-solving Lab for CS109,CS,"['Winter', 'Spring', 'Autumn']"
39,3,5,110,Principles of Computer Systems,CS,"['Winter', 'Autumn']"
40,1,1,110A,Problem Solving Lab for CS110,CS,"['Winter', 'Autumn']"
41,2,2,110L,Safety in Systems Programming,CS,"['Winter', 'Autumn']"
42,3,5,111,Operating Systems Principles,CS,['Spring']
43,1,1,111A,Problem Solving Lab for CS111,CS,['Spring']
44,3,3,112,Operating systems kernel implementation project,CS,['Winter']
45,3,3,114,Selected Reading of Computer Science Research,CS,['Spring']
46,3,4,124,"From Languages to Information (LINGUIST 180, LINGUIST 280)",CS,['Autumn']
47,3,4,129,Applied Machine Learning,CS,['Spring']
48,3,4,131,Computer Vision: Foundations and Applications,CS,['Autumn']
49,3,5,140,Operating Systems and Systems Programming,CS,['Winter']
50,3,4,140E,Operating systems design and implementation,CS,['Winter']
51,3,3,142,Web Applications,CS,"['Winter', 'Spring']"
52,3,4,143,Compilers,CS,['Spring']
53,3,4,144,Introduction to Computer Networking,CS,['Autumn']
54,3,4,145,Data Management and Data Systems,CS,['Autumn']
55,3,5,147,Introduction to Human-Computer Interaction Design,CS,['Winter']
56,3,4,148,Introduction to Computer Graphics and Imaging,CS,"['Summer', 'Autumn']"
57,3,4,149,Parallel Computing,CS,['Autumn']
58,3,3,151,Logic Programming,CS,['Spring']
